Transaction_ID,Trade_ID,Type,Date,Ticker,Liquidity_Source,Support_Price,Quantity,Price,Total_Spend,Gross_PnL,Statutory_Taxes,Net_PnL,Return_Pct,Balance,Target_RR_Mode,Outcome,Chart_PNG_URI
79,40,BUY (ENTRY),2010-12-30,RECLTD.NS,Weekly,108.38,152,110.17,16745.84,0.0,0.0,0.0,0.0,107715.50000000004,1:2,OPEN,N/A
80,40,SELL (EXIT),2011-01-05,RECLTD.NS,Weekly,108.38,152,103.62,16745.84,-995.6,52.12,-1047.72,-6.256598653755202,132582.08000000005,1:2,Fail,file:///C:/DATA/CODE/Stocks/BackTest/Plots/statement_trades/Trade_0040_RECLTD.NS_2010-12-30_LOSS.png
81,41,BUY (ENTRY),2011-01-12,MALUPAPER.NS,Monthly,12.4,1140,13.86,15800.4,0.0,0.0,0.0,0.0,107613.22000000004,1:2,OPEN,N/A
82,41,SELL (EXIT),2011-01-17,MALUPAPER.NS,Monthly,12.4,1140,12.99,15800.4,-991.8,50.02,-1041.82,-6.593630540998961,131540.26000000004,1:2,Fail,file:///C:/DATA/CODE/Stocks/BackTest/Plots/statement_trades/Trade_0041_MALUPAPER.NS_2011-01-12_LOSS.png
83,42,BUY (ENTRY),2011-01-17,SUPRAJIT.NS,Weekly,20.0,1348,21.02,28334.96,0.0,0.0,0.0,0.0,94036.84000000004,1:2,OPEN,N/A
84,42,SELL (EXIT),2011-01-21,SUPRAJIT.NS,Weekly,20.0,1348,22.5,28334.96,1995.04,80.97,1914.07,6.755153351195838,133454.33000000005,1:2,Success,file:///C:/DATA/CODE/Stocks/BackTest/Plots/statement_trades/Trade_0042_SUPRAJIT.NS_2011-01-17_PROFIT.png
85,43,BUY (ENTRY),2011-01-21,FORTIS.NS,Monthly,134.65,306,134.13,41043.78,0.0,0.0,0.0,0.0,83242.09000000005,1:2,OPEN,N/A
86,43,SELL (EXIT),2011-01-27,FORTIS.NS,Monthly,134.65,306,130.87,41043.78,-997.56,106.11,-1103.67,-2.689006714293859,132350.66000000003,1:2,Fail,file:///C:/DATA/CODE/Stocks/BackTest/Plots/statement_trades/Trade_0043_FORTIS.NS_2011-01-21_LOSS.png
87,38,SELL (EXIT),2011-01-28,JSL.NS,Monthly,97.0,86,95.05,9168.46,-994.16,35.28,-1029.44,-11.228057929030614,131321.22000000003,1:2,Fail,file:///C:/DATA/CODE/Stocks/BackTest/Plots/statement_trades/Trade_0038_JSL.NS_2010-12-22_LOSS.png
88,44,BUY (ENTRY),2011-01-31,DRREDDY.NS,Weekly,323.22,111,313.71,34821.81,0.0,0.0,0.0,0.0,96499.41000000003,1:2,OPEN,N/A
89,45,BUY (ENTRY),2011-01-31,GULFPETRO.NS,Weekly,10.74,1477,10.69,15789.13,0.0,0.0,0.0,0.0,80710.28000000003,1:2,OPEN,N/A
90,44,SELL (EXIT),2011-02-09,DRREDDY.NS,Weekly,323.22,111,304.75,34821.81,-994.56,92.29,-1086.85,-3.1211760675277938,130234.37000000002,1:2,Fail,file:///C:/DATA/CODE/Stocks/BackTest/Plots/statement_trades/Trade_0044_DRREDDY.NS_2011-01-31_LOSS.png
